title,similar_title,cosine_similarity
freakonomics,diary of the dead,0.866399
unnatural,an inconvenient truth,0.86263907
diary of the dead,a haunted house,0.8852072
a guy named joe,good kill,0.874704
beer league,obvious child,0.8523561
timber falls,hatchet,0.85284764
kevin hart: let me explain,fantasia,0.8568234
before sunrise,before sunset,0.8772404
saving face,higher ground,0.8637156
religulous,jack brooks: monster slayer,0.8513457
8: the mormon proposition,the singles ward,0.8502805
the other end of the line,safety not guaranteed,0.8514615
the rise of the krays,24 7: twenty four seven,0.8516103
redemption road,the last sin eater,0.8531818
mi america,dead man's shoes,0.8554701
[rec],containment,0.8818477
from russia with love,dr. no,0.8829346
everything you always wanted to know about sex *but were afraid to ask,american splendor,0.85071737
courageous,cavite,0.8694232
american splendor,gentleman's agreement,0.9009691
witchboard,insidious,0.85250264
no end in sight,jagal,0.85349166
teeth,die büchse der pandora,0.8504441
saint john of las vegas,circle,0.8688075
this thing of ours,deadline - u.s.a.,0.854237
lesbian vampire killers,the dead undead,0.8533885
nine dead,treachery,0.8518735
bananas,ed and his dead mother,0.8560763
walking with the dead,zombie hunter,0.8613218
एबीसीडी,eddie: the sleepwalking cannibal,0.8618194
brotherly love,batman,0.85449374
the last exorcism,the horror network vol. 1,0.8500118
a streetcar named desire,may,0.850702
the greatest movie ever sold,the salon,0.8830265
independence daysaster,repo man,0.8660048
may,the to do list,0.8760345
yes,adulterers,0.8564172
grace unplugged,20 feet from stardom,0.8956834
दिल जो भी कहे,guiana 1838,0.8786334
waitress,"sex, lies, and videotape",0.860219
insidious,mooz-lum,0.85464245
the salon,the lords of salem,0.85201484
forty shades of blue,rebecca,0.8584984
fetching cody,on the outs,0.8773417
vượt sóng,lonesome jim,0.8606976
eddie: the sleepwalking cannibal,da sweet blood of jesus,0.86406213
kurmanjan datka. queen of the mountains,دایره,0.8500035
the 41–year–old virgin who knocked up sarah marshall and felt superbad about it,but i'm a cheerleader,0.85292816
friday the 13th part 2,"run, hide, die",0.85490346
you can count on me,blue like jazz,0.8680645
the trouble with harry,baghead,0.86449957
down & out with the dolls,next stop wonderland,0.85788965
the wicked within,bleeding hearts,0.85919887
the vatican exorcisms,the devil inside,0.87837404
tom jones,november,0.8833796
taxi driver,taxi to the dark side,0.8532786
god's not dead 2,undivided,0.8666887
cry_wolf,october baby,0.85248816
blue valentine,conversations with other women,0.85159194
an inconvenient truth,a lego brickumentary,0.86078775
the skeleton twins,tin can man,0.8530595
obvious child,two girls and a guy,0.89202094
20 feet from stardom,hits,0.8564426
two girls and a guy,the perfect host,0.8764578
all the real girls,alone with her,0.8566412
blue car,funny ha ha,0.8549194
jagal,the party's over,0.85413325
antarctica: a year on ice,tarnation,0.852102
a lego brickumentary,the helix... loaded,0.8621168
16 to life,the poker house,0.8606549
special,fear clinic,0.87462723
the helix... loaded,bambi,0.85339284
the jimmy show,kevin hart: laugh at my pain,0.86136377
jimmy and judy,hard candy,0.8566016
the party's over,circumstance,0.8519189
the poker house,snow white: a deadly summer,0.8657998
truth or dare,mutual friends,0.86108875
bang bang baby,johnny suede,0.8522798
fear clinic,some guy who kills people,0.8507087
ask me anything,"for a good time, call...",0.8620507
and then came love,"first love, last rites",0.8531474
bambi,welcome to the dollhouse,0.8580517
latter days,rust,0.8572153
welcome to the dollhouse,harrison montgomery,0.8587438
die büchse der pandora,the sisterhood of night,0.8578152
cama adentro,the maid's room,0.8596326
safety not guaranteed,kill list,0.8661989
il conformista,napoleon dynamite,0.8500172
mercy streets,benji,0.8559587
arnolds park,the gallows,0.8501463
light from the darkroom,drinking buddies,0.854512
love letters,the canyons,0.85674006
julija in alfa romeo,breaking upwards,0.85252416
kingdom of the spiders,give me shelter,0.852195
johnny suede,scott walker: 30 century man,0.9085076
the slaughter rule,sound of my voice,0.8550099
detention of the dead,girls gone dead,0.8551108
the sound and the shadow,intolerance,0.8503761
42nd street,midnight cabaret,0.8794813
american ninja 2: the confrontation,royal kill,0.85533655
my dog tulip,this is martin bonner,0.86181283
3 backyards,lovely & amazing,0.8894954
sisters in law,dry spell,0.8541253
fighting tommy riley,facing the giants,0.8689226
death calls,better luck tomorrow,0.8643009
better luck tomorrow,amidst the devil's wings,0.85019195
the incredibly true adventure of two girls in love,love and other catastrophes,0.87889475
amidst the devil's wings,newlyweds,0.85165155
the canyons,exam,0.85006976
on the outs,dutch kills,0.8582408
the sticky fingers of time,archaeology of a woman,0.88406205
along the roadside,another earth,0.86429596
swingers,an american in hollywood,0.8607054
she done him wrong,in the company of men,0.85236955
the business of fancydancing,tiger orange,0.85910404
super hybrid,primer,0.87232894
she's gotta have it,"i love you, don't touch me!",0.8624526
the gallows,cheap thrills,0.8517907
eraserhead,happy christmas,0.85054994
cheap thrills,open secret,0.8692917
echo dr.,george washington,0.8500562
tiger orange,supporting characters,0.8677626
supporting characters,the dirties,0.8677571
george washington,raymond did it,0.8538364
funny ha ha,sanctuary: quite a conundrum,0.8553865
